key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
escalation of commitment,escalation of commitment,sự leo thang cam kết,sự leo thang cam kết,tendency to continue with a predetermined action based on the past efforts and contributions to the project rather than an analysis of the current realities that disclose a new solution or approach is necessary,xu hướng tiếp tục một hành động đã định trước dựa trên nỗ lực và đóng góp trong quá khứ thay vì phân tích thực tế hiện tại cho thấy cần một giải pháp hoặc cách tiếp cận mới,Chương 15,approved,Source: glossary.md — Chương 15
fail-safe point,fail-safe point,điểm kích hoạt an toàn,điểm kích hoạt an toàn,identified point that triggers the entrepreneur to consider what actions are needed to bring the venture back to a healthy position and whether this action is reasonable and feasible,điểm được xác định kích hoạt doanh nhân cân nhắc các hành động cần thiết để đưa doanh nghiệp trở lại trạng thái lành mạnh và liệu hành động đó có hợp lý và khả thi hay không,Chương 15,approved,Source: glossary.md — Chương 15
founders’ agreement,founders’ agreement,thỏa thuận giữa các nhà sáng lập,thỏa thuận giữa các nhà sáng lập,"written document that addresses contractual topics such as division of equity, compensation, contributions to the venture, and commitments to the venture with timelines included","tài liệu bằng văn bản đề cập đến các vấn đề hợp đồng như phân chia cổ phần, thù lao, đóng góp cho doanh nghiệp và các cam kết với doanh nghiệp kèm theo mốc thời gian",Chương 15,approved,Source: glossary.md — Chương 15
gantt chart,Gantt chart,biểu đồ Gantt,biểu đồ Gantt,bar chart used to organize and plan sequential steps in a process,biểu đồ dạng thanh dùng để tổ chức và lập kế hoạch các bước tuần tự trong một quy trình,Chương 15,approved,Source: glossary.md — Chương 15
hindsight bias,hindsight bias,thiên kiến dự báo,thiên kiến dự báo,"belief that, in retrospect, the outcome was predictable when the outcome wasn’t predictable due to various uncontrollable factors",niềm tin rằng khi nhìn lại thì kết quả có thể dự đoán được trong khi thực tế không thể dự đoán do nhiều yếu tố không kiểm soát được,Chương 15,approved,Source: glossary.md — Chương 15
hubris,hubris,sự tự cao,sự tự cao,overinflated belief in oneself,niềm tin quá mức vào bản thân,Chương 15,approved,Source: glossary.md — Chương 15
lifestyle business,lifestyle business,Khởi nghiệp theo lối sống,Khởi nghiệp theo lối sống,business that provides incomes similar to other forms of employment,doanh nghiệp mang lại thu nhập tương tự các hình thức việc làm khác,Chương 15,approved,Source: glossary.md — Chương 15
nominal group technique,Nominal Group Technique,kỹ thuật ra quyết định nhóm,kỹ thuật ra quyết định nhóm,group decision-making process that requests multiple rounds of responses and discussions of response,phương pháp ra quyết định nhóm yêu cầu nhiều vòng phản hồi và thảo luận về các phản hồi,Chương 15,approved,Source: glossary.md — Chương 15
nondisclosure agreement,nondisclosure agreement,thỏa thuận không tiết lộ,thỏa thuận không tiết lộ,formal agreement that the person signing the document will not sharing proprietary information with outside sources,thỏa thuận chính thức rằng người ký sẽ không chia sẻ thông tin độc quyền với bên ngoài,Chương 15,approved,Source: glossary.md — Chương 15
planning fallacy,planning fallacy,ngụy biện lập kế hoạch (thiên kiến kế hoạch),ngụy biện lập kế hoạch (thiên kiến kế hoạch),creation of a plan that is too optimistic and not aligned with conservative assumptions,việc lập kế hoạch quá lạc quan và không phù hợp với các giả định thận trọng,Chương 15,approved,Source: glossary.md — Chương 15
social capital,social capital,vốn xã hội,vốn xã hội,goodwill that is created through helping someone else,thiện chí được tạo ra thông qua việc giúp đỡ người khác,Chương 15,approved,Source: glossary.md — Chương 15
status quo bias,status quo bias,thiên kiến hiện trạng,thiên kiến hiện trạng,pattern of relying on previous actions and results as the accepted pattern and outcome with a bias against change or new information or new results,"xu hướng dựa vào các hành động và kết quả trước đây như chuẩn mực chấp nhận, thiên lệch chống lại sự thay đổi hoặc thông tin hay kết quả mới",Chương 15,approved,Source: glossary.md — Chương 15
strategic decision-making,strategic decision-making,ra quyết định chiến lược,ra quyết định chiến lược,process of making high-level decisions that determine the long-term direction and competitive positioning of an organization.,quá trình đưa ra các quyết định cấp cao nhằm định hướng dài hạn và xác lập vị thế cạnh tranh của tổ chức.,Chương 15 (bổ sung),approved,Source: glossary.md — Chương 15 (bổ sung)
business continuity,business continuity,duy trì hoạt động kinh doanh,duy trì hoạt động kinh doanh,ability of a business to maintain essential operations during and after disruptions or crises.,khả năng của doanh nghiệp trong việc duy trì các hoạt động cốt lõi trong và sau các sự cố hoặc khủng hoảng.,Chương 15 (bổ sung),approved,Source: glossary.md — Chương 15 (bổ sung)
entrepreneurial transition,entrepreneurial transition,chuyển đổi vai trò doanh nhân,chuyển đổi vai trò doanh nhân,"process by which an entrepreneur shifts roles, responsibilities, or leadership style as the business evolves.","quá trình doanh nhân thay đổi vai trò, trách nhiệm hoặc phong cách lãnh đạo khi doanh nghiệp phát triển qua các giai đoạn khác nhau.",Chương 15 (bổ sung),approved,Source: glossary.md — Chương 15 (bổ sung)
long-term planning,long-term planning,hoạch định dài hạn,hoạch định dài hạn,"strategic planning process that sets goals and actions over an extended time horizon, typically several years.","quá trình lập kế hoạch chiến lược nhằm xác định mục tiêu và hành động trong một khoảng thời gian dài, thường kéo dài nhiều năm.",Chương 15 (bổ sung),approved,Source: glossary.md — Chương 15 (bổ sung)
